BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,61,38.706039,16.85421,1.4455853,105.82341,37.704918,53.468731,42.980637
2,142,33.313385,14.455853,1.1170431,86.800819,40.140846,52.358349,40.773304
3,213,28.069056,5.2895279,.68993843,27.400412,30.046947,39.133953,27.255632
4,73,11.318807,.98562628,.16427104,10.184805,28.767124,24.811827,20.300585
5,68,12.590777,1.0184805,.13141684,16.788502,23.529411,27.518194,20.526392
6,73,2.2615452,.45995894,.19712526,1.4784395,17.80822,9.8255062,4.9127531
