BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,19,,,,,,,
2,23,13.526432,8.6078033,2.0369611,16.558521,30.434782,35.377182,23.584789
3,59,18.787479,8.9691992,4.5995893,26.710472,28.813559,41.155746,26.271706
4,41,9.2747698,3.0225873,1.0184805,8.0492811,19.512196,22.764227,11.382113
5,37,11.623355,3.778234,1.8398358,9.3634501,18.918919,19.95842,19.95842
6,68,12.194516,3.449692,1.577002,18.036961,29.411764,31.804577,22.488085
