BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,40,53.749485,.92368424,.81125963,.77598751,.64471143,.36840653,.36840653,.36840653,.36840653,,62.5
2,72,47.342915,.91249955,.65680468,.54616016,.47854033,.38992175,.30079678,.30079678,.22559759,,50
3,107,33.839836,.8248207,.58986717,.46849781,.37844452,.30797786,.28428724,.22742979,.13645788,.13645788,39.252335
4,65,18.694046,.71436208,.44840577,.36733532,.34109709,.22739805,.22739805,.22739805,.22739805,,35.384617
5,49,17.445585,.61170334,.39475805,.32896504,.28784442,.28784442,.23027553,.15351702,,,34.693878
6,103,13.010267,.50493968,.39067054,.29536584,.20174542,.143837,.047945671,,,,24.271845
