BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,90,55.453117,33.347023,11.958932,80.492813,58.888889,72.696556,60.09235
2,218,31.519663,11.039015,2.0698152,53.32238,35.779816,46.292168,32.303047
3,298,19.456205,2.0041068,.39425051,14.160164,24.161074,26.770185,17.853064
4,93,17.183939,.62422997,.19712526,2.2669404,23.655914,20.044664,18.040197
5,45,25.176619,.85420942,.22997947,,35.555557,35.028748,35.028748
6,23,3.7115567,.68993843,.22997947,8.6735115,30.434782,13.018052,13.018052
