BCR,N,Mean,Median,P25,P75,Censored
1,24,13.956282,2.5954826,.59137577,20.172485,25
2,51,16.049049,3.3839836,.82135522,16.591375,23.529411
3,90,23.25321,1.577002,.39425051,10.809035,25.555555
4,50,9.4965296,.95277208,.22997947,3.6796715,28
5,38,8.8469915,.88706368,.29568788,5.6837783,26.31579
6,77,5.7892742,.98562628,.22997947,3.909651,36.363636
