BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,231,107.66325,.99561405,.95923924,.87918699,.8218177,.76524305,.65942198,.60341889,.55111885,.4190034,75.757576
2,242,115.67967,.97419941,.93266642,.90019906,.81642592,.77288097,.68182319,.61180979,.5548442,.4171761,74.793388
3,127,,.98311174,.93765587,.90717769,.81899261,.72695404,.69531679,.6180594,.54724008,.51075739,74.015747
4,36,111.11294,.93939394,.8419705,.8419705,.7976563,.74447918,.74447918,.74447918,.74447918,.49631947,77.777779
