BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,100,78.258728,.93858624,.88105416,.77286786,.68962419,.65274322,.58184373,.42298508,.34896269,.22433315,62
2,256,48.821354,.88158941,.77161074,.62415534,.50797641,.42358142,.34489024,.3174068,.26012731,.17735954,42.578125
3,343,47.014374,.8377735,.73577291,.60156292,.49030241,.39446285,.29043108,.25140417,.20062052,.13195576,40.233234
4,99,45.601643,.76152605,.65237993,.54415202,.47726721,.4407745,.28513911,.28513911,.17821196,.17821196,41.414143
5,48,36.731007,.7875458,.57736951,.52596807,.43830672,.36525562,.31307623,.31307623,.31307623,.31307623,43.75
6,27,19.975359,.77777779,.45629629,.36503702,.3194074,.26617283,.21293828,.21293828,,,29.629629
