BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,231,4.1271143,3.7453799,2.7926078,4.9938397,0,.86580086,0
2,242,4.2077827,3.6796715,2.9240246,4.8624229,0,1.2396694,0
3,127,3.8739512,3.6139631,2.7597537,4.3696098,0,0,0
4,36,4.297513,3.6796715,3.0882957,4.4024639,0,2.7777777,0
