BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,100,13.376526,8.0492811,5.4866529,11.926078,9,24.572649,14.59478
2,256,19.147528,8.0492811,4.8295689,13.108829,14.0625,28.124744,12.455367
3,343,13.37666,5.4866529,3.2197125,9.8891172,11.370262,19.822668,12.694731
4,99,3.6179821,3.0554414,1.87269,4.7638602,4.0404038,1.8855219,1.8855219
5,48,6.2094455,2.5297742,1.577002,5.0266938,6.25,7.2916665,4.8611112
6,27,15.851547,3.449692,1.8398358,8.016427,14.814815,14.814815,14.814815
