BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,40,32.72892,25.297741,7.7864475,57.330597,40,66.186188,52.252251
2,72,21.279594,11.63039,6.1765914,42.644764,25,48.492672,28.342213
3,108,15.257657,8.2792606,3.2197125,16.098562,14.814815,32.617046,19.811998
4,65,12.515418,5.979466,2.4312115,14.685832,21.538462,32.864208,13.556486
5,50,17.324688,5.5523615,2.4969199,10.579056,24,20.392105,16.313684
6,103,17.350836,3.5811088,1.1827515,12.156057,25.242718,26.145948,21.579281
