BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,231,72.612144,68.533882,26.841888,124.74744,61.904762,91.392792,82.987518
2,241,80.571381,54.40657,22.110884,157.63449,57.67635,81.002609,71.566887
3,127,52.165958,38.143738,17.938398,83.285423,44.09449,85.000755,65.823967
4,36,64.303413,44.616016,31.967146,123.23614,55.555557,79.038841,79.038841
