BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,95,79.14579,.91221213,.89988494,.78225058,.76660556,.67177665,.56429237,.40306598,.35268274,.35268274,67.368423
2,175,63.835728,.92270106,.8265357,.71128374,.63629961,.55519468,.47782725,.36603358,.30716103,.25596753,60.57143
3,274,50.365501,.88958502,.71891767,.59701544,.51015347,.42851996,.35813171,.34185299,.30310965,.27785051,52.919708
4,100,34.759754,.75944424,.59066451,.48506314,.36268774,.25942838,.235844,.235844,.1617216,,38
5,88,58.907597,.79275477,.67734063,.64343011,.53492892,.41605583,.26341197,.26341197,.17560798,.17560798,52.272728
6,86,21.322382,.58415568,.42183161,.22244735,.17111334,.15400201,.13200173,.055000719,,,22.093023
